ticker,expense,segment,issuer,name,aum,return_ytd,return_1m,return_3m,return_1y,return_3y,return_5y,return_10y,flow_ytd,flow_1m,flow_3m,flow_1y,flow_3y
ILTB,0.06%,"Fixed Income: U.S. - Broad Market, Broad-based Long-Term",Blackrock,iShares Core 10+ Year USD Bond ETF,324,-5.36%,-5.53%,-4.20%,-5.95%,8.02%,6.14%,5.24%,-$13.78M,-$13.78M,-$13.78M,-$91.19M,$72.08M
ISTB,0.06%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",Blackrock,iShares Core 1-5 Year USD Bond ETF,6240,-1.09%,-1.07%,-1.32%,-1.85%,2.65%,2.20%,--,-$44.96M,-$44.96M,$122.13M,"$1,628.29M","$4,059.24M"
FTSM,0.25%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",First Trust,First Trust Enhanced Short Maturity ETF,4120,-0.05%,-0.05%,-0.17%,-0.09%,1.20%,1.44%,--,-$128.60M,-$152.53M,-$329.21M,-$926.18M,$15.08M
USTB,0.35%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",Victory Capital,VictoryShares USAA Core Short-Term Bond ETF,386,-0.74%,-0.70%,-0.62%,-0.08%,3.06%,--,--,$0.00M,$2.56M,$115.93M,$139.22M,$319.23M
LDSF,0.77%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",First Trust,First Trust Low Duration Strategic Focus ETF,243,-0.69%,-0.49%,-0.55%,-1.33%,1.64%,--,--,-$7.98M,-$5.98M,$43.99M,$99.62M,$247.80M
LSST,0.38%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",Natixis,Natixis Loomis Sayles Short Duration Income ETF,50,-0.60%,-0.60%,-0.90%,-0.92%,3.16%,--,--,$2.48M,$2.48M,$9.99M,$26.45M,$22.44M
CMBS,0.25%,"Fixed Income: U.S. - Corporate, Asset-backed Investment Grade",Blackrock,iShares CMBS ETF,783,-1.75%,-1.90%,-1.85%,-3.61%,3.87%,3.05%,--,-$52.52M,-$52.52M,-$12.53M,$348.70M,$454.33M
FLBL,0.45%,"Fixed Income: U.S. - Corporate, Bank Loans High Yield Floating Rate",Franklin Templeton,Franklin Liberty Senior Loan ETF,232,0.28%,0.61%,0.74%,3.35%,3.92%,--,--,$14.97M,$14.97M,$46.12M,$174.56M,$174.62M
SEIX,0.57%,"Fixed Income: U.S. - Corporate, Bank Loans High Yield Floating Rate",Virtus Investment Partners,Virtus Seix Senior Loan ETF,53,0.18%,0.26%,-0.26%,2.78%,--,--,--,$1.25M,$1.25M,$1.25M,$46.27M,$47.45M
AAA,0.25%,"Fixed Income: U.S. - Corporate, Bank Loans Investment Grade Floating Rate",Alternative Access Funds LLC,AAF First Priority CLO Bond ETF,10,-0.12%,-0.03%,0.16%,0.36%,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$9.98M
FCOR,0.36%,"Fixed Income: U.S. - Corporate, Broad-based",Fidelity,Fidelity Corporate Bond ETF,271,-3.07%,-3.38%,-3.08%,-3.75%,6.27%,4.59%,--,-$2.71M,-$5.46M,$5.63M,$19.52M,$214.23M
DFHY,0.95%,"Fixed Income: U.S. - Corporate, Broad-based",TrimTabs,Donoghue Forlines Tactical High Yield ETF,70,-2.13%,-2.49%,-2.11%,-4.13%,--,--,--,-$13.32M,-$13.32M,-$10.25M,-$4.60M,$72.29M
REC,0.48%,"Fixed Income: U.S. - Corporate, Broad-based",Emles Advisors LLC,Emles Real Estate Credit ETF,5,-2.63%,-2.43%,-2.77%,-5.38%,--,--,--,$0.00M,$0.00M,$0.00M,-$18.68M,$2.42M
HYG,0.48%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares iBoxx USD High Yield Corporate Bond ETF,18550,-2.53%,-2.70%,-1.56%,1.25%,5.01%,4.37%,4.77%,"-$2,424.75M","-$2,181.28M",-$984.75M,"-$4,124.00M","$3,759.88M"
JNK,0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",State Street Global Advisors,SPDR Bloomberg High Yield Bond ETF,8760,-2.52%,-2.71%,-1.58%,1.42%,5.40%,4.41%,4.68%,-$661.60M,-$727.31M,$422.80M,"-$3,200.59M",$131.49M
USHY,0.15%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares Broad USD High Yield Corporate Bond ETF,8660,-2.57%,-2.67%,-1.58%,2.23%,6.13%,--,--,-$23.23M,$38.36M,$588.81M,"$1,317.66M","$8,209.75M"
HYLB,0.15%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",DWS,Xtrackers USD High Yield Corporate Bond ETF,5970,-2.38%,-0.18%,-1.61%,1.25%,5.14%,4.46%,--,-$482.66M,-$402.94M,-$621.95M,"-$1,180.18M","$3,625.87M"
FALN,0.25%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares Fallen Angels USD Bond ETF,4860,-3.77%,-3.80%,-3.36%,1.38%,9.43%,6.65%,--,$12.32M,$31.71M,$372.75M,"$3,681.65M","$4,854.04M"
ANGL,0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",VanEck,VanEck Fallen Angel High Yield Bond ETF,4700,-3.91%,-3.91%,-3.14%,2.53%,9.57%,6.85%,--,-$548.80M,-$426.85M,-$419.61M,$461.08M,"$3,520.73M"
JPHY,0.24%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",JPMorgan Chase,JPMorgan High Yield Research Enhanced ETF,1500,-2.60%,-2.73%,-1.61%,1.26%,5.68%,4.59%,--,-$15.18M,-$10.01M,-$40.82M,$506.77M,"$1,372.31M"
PTBD,0.60%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Pacer Advisors,Pacer Trendpilot U.S. Bond ETF,1320,-2.97%,-2.90%,-2.30%,-2.24%,--,--,--,$21.57M,$40.38M,$48.59M,$873.51M,"$1,358.35M"
HYDW,0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",DWS,Xtrackers Low Beta High Yield Bond ETF,1020,-2.11%,-2.21%,-1.53%,0.33%,4.41%,--,--,$0.00M,$0.00M,$138.03M,$998.16M,$886.24M
HYGV,0.37%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Northern Trust,FlexShares High Yield Value-Scored Bond Index Fund,687,-2.33%,-2.64%,-1.49%,2.81%,7.39%,--,--,$51.29M,$63.54M,$137.41M,$508.23M,$659.47M
SPHY,0.10%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",State Street Global Advisors,SPDR Portfolio High Yield Bond ETF,630,-2.18%,-2.22%,-1.11%,2.96%,6.87%,5.00%,--,$47.54M,$74.07M,$87.39M,$438.86M,$566.91M
HYZD,0.43%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",WisdomTree,WisdomTree Interest Rate Hedged High Yield Bond Fund,215,-1.37%,-0.99%,-0.41%,3.87%,3.12%,3.25%,--,$4.43M,$11.11M,$35.33M,$97.26M,-$22.90M
GHYB,0.34%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Goldman Sachs,Goldman Sachs Access High Yield Corporate Bond ETF,200,-2.51%,-2.87%,-1.94%,-0.29%,4.94%,--,--,$0.03M,$5.01M,$12.55M,$32.88M,$150.23M
WFHY,0.38%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",WisdomTree,WisdomTree U.S. High Yield Corporate Bond Fund,184,-2.58%,-2.65%,-1.55%,1.53%,6.04%,5.06%,--,$5.17M,$5.17M,-$0.11M,$68.23M,$174.37M
HYDB,0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares Edge High Yield Defensive Bond ETF,184,-2.37%,-2.50%,-1.52%,2.27%,7.11%,--,--,$0.00M,$7.69M,$28.26M,$136.30M,$168.99M
HYGH,0.52%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares Interest Rate Hedged High Yield Bond ETF,152,-1.20%,-1.36%,-0.22%,4.36%,3.77%,3.98%,--,$17.61M,$22.01M,$17.73M,$96.45M,-$48.47M
HYXF,0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares ESG Advanced High Yield Corporate Bond ETF,151,-2.32%,-2.51%,-1.44%,0.61%,5.58%,4.97%,--,$10.16M,$10.16M,$33.22M,$75.01M,$143.57M
HYHG,0.51%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",ProShares,ProShares High Yield-Interest Rate Hedged ETF,147,-0.80%,-0.59%,-0.15%,3.60%,3.59%,3.43%,--,$12.54M,$12.54M,$15.62M,$76.53M,$9.00M
HYLD,1.37%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Exchange Traded Concepts,High Yield ETF,131,-3.64%,-4.44%,-4.43%,-0.44%,2.99%,3.69%,3.04%,$0.00M,$0.00M,$2.38M,$35.50M,-$16.99M
NUHY,0.30%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Nuveen Securities,Nuveen ESG High Yield Corporate Bond ETF,100,-2.28%,-2.26%,-1.38%,0.16%,--,--,--,$0.00M,$0.00M,$2.47M,$29.56M,$79.07M
HYBB,0.25%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Blackrock,iShares BB Rated Corporate Bond ETF,96,-2.82%,-3.05%,-1.91%,0.99%,--,--,--,$2.59M,$2.59M,$5.18M,$2.18M,$75.27M
BKHY,0.22%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",BNY Mellon,BNY Mellon High Yield Beta ETF,49,-2.22%,-4.53%,-4.26%,-4.22%,--,--,--,$0.00M,$2.75M,$2.75M,$11.18M,$20.72M
HYLV,0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",New York Life,IQ S&P High Yield Low Volatility Bond ETF,34,-3.09%,-3.11%,-1.97%,-0.83%,4.40%,--,--,-$2.45M,-$2.45M,-$2.45M,-$71.35M,-$54.54M
FEHY,0.23%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Northern Trust,FlexShares ESG & Climate High Yield Corporate Core Index Fund,29,-2.26%,-2.32%,-1.39%,--,--,--,--,$0.00M,-$9.92M,-$19.75M,-$19.75M,-$19.75M
HYUP,0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",DWS,Xtrackers High Beta High Yield Bond ETF,21,-2.59%,-2.82%,-2.01%,1.22%,5.82%,--,--,-$2.35M,-$2.35M,-$0.00M,$12.02M,-$119.68M
HYTR,0.97%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Counterpoint Mutual Funds LLC,CP High Yield Trend ETF,10,-1.98%,-2.10%,-1.52%,0.81%,--,--,--,$0.00M,$0.00M,$1.20M,-$1.80M,$10.49M
SIHY,0.48%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Harbor,Harbor Scientific Alpha High-Yield ETF,0,-2.33%,-2.47%,-2.84%,--,--,--,--,--,--,--,--,--
BKLN,0.65%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Floating Rate",Invesco,Invesco Senior Loan ETF,6200,-0.38%,-0.15%,0.27%,1.27%,3.11%,2.66%,3.16%,-$127.97M,-$112.54M,-$609.12M,$457.31M,"$1,238.36M"
FLRT,0.69%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Floating Rate",Pacific Life,Pacer Pacific Asset Floating Rate High Income ETF,52,0.25%,0.38%,0.70%,2.40%,3.94%,2.84%,--,$17.63M,$17.63M,$15.67M,$23.00M,$23.00M
SNLN,0.66%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Floating Rate",Highland Capital Management,Highland iBoxx Senior Loan ETF,44,0.04%,-0.04%,-0.10%,1.06%,0.29%,0.73%,--,-$1.59M,-$1.59M,$6.36M,-$4.96M,-$346.97M
PHB,0.50%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco Fundamental High Yield Corporate Bond ETF,943,-2.37%,-2.42%,-1.86%,0.97%,5.12%,4.13%,4.62%,-$24.66M,-$34.38M,$157.74M,$198.64M,$294.91M
BSJN,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2023 High Yield Corporate Bond ETF,749,-1.27%,-1.43%,-0.67%,2.00%,3.65%,3.58%,--,$10.02M,$22.66M,$62.99M,$278.32M,$631.47M
BSJO,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2024 High Yield Corporate Bond ETF,458,-1.81%,-1.84%,-1.11%,2.27%,4.77%,4.18%,--,$24.85M,$27.34M,$72.09M,$239.57M,$406.82M
BSJP,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2025 High Yield Corporate Bond ETF,332,-1.19%,-1.15%,-0.21%,3.37%,5.98%,--,--,$12.21M,$17.11M,$41.53M,$129.91M,$292.74M
BSJQ,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2026 High Yield Corporate Bond ETF,171,-1.78%,-1.82%,-0.90%,2.48%,5.67%,--,--,$10.19M,$20.44M,$40.86M,$107.63M,$165.74M
BSJR,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2027 High Yield Corporate Bond ETF,47,-1.98%,-2.08%,-0.98%,1.92%,--,--,--,$2.53M,$5.07M,$2.51M,$30.62M,$42.99M
BSJS,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2028 High Yield Corporate Bond ETF,17,-3.28%,-3.28%,-3.28%,-4.36%,--,--,--,-$2.52M,$0.01M,$2.53M,$7.63M,$17.65M
BSJT,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",Invesco,Invesco BulletShares 2029 High Yield Corporate Bond ETF,7,-2.99%,-3.16%,-2.04%,--,--,--,--,$0.00M,$2.46M,$2.46M,$2.46M,$2.46M
SHYG,0.30%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",Blackrock,iShares 0-5 Year High Yield Corporate Bond ETF,5340,-1.35%,-1.37%,-0.76%,3.03%,4.25%,4.07%,--,-$85.57M,-$85.57M,-$3.69M,$457.39M,"$3,138.39M"
SJNK,0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",State Street Global Advisors,SPDR Bloomberg Short Term High Yield Bond ETF,4140,-1.22%,-1.22%,-0.79%,3.36%,5.20%,4.54%,--,-$24.04M,-$24.05M,-$477.20M,$468.75M,"$1,116.84M"
HYS,0.55%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",PIMCO,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,1780,-1.66%,-1.45%,-0.78%,3.03%,4.33%,4.03%,4.83%,$0.00M,$19.81M,-$188.01M,-$152.20M,$380.40M
BSJM,0.42%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",Invesco,Invesco BulletShares 2022 High Yield Corporate Bond ETF,835,-0.55%,-0.68%,-0.01%,2.33%,2.70%,2.85%,--,-$78.68M,-$64.74M,-$69.37M,$51.75M,$558.99M
SHYL,0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",DWS,Xtrackers Short Duration High Yield Bond ETF,84,-1.28%,-1.25%,-1.06%,2.24%,3.82%,--,--,$2.36M,$4.73M,$0.03M,$45.35M,$37.95M
FHYS,0.51%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term","Federated Hermes, Inc.",Federated Hermes Short Duration High Yield ETF,27,-1.46%,-1.45%,--,--,--,--,--,$2.50M,$2.50M,$27.50M,$27.50M,$27.50M
KORP,0.29%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",American Century Investments,American Century Diversified Corporate Bond ETF,158,-1.94%,-1.98%,-2.03%,-2.22%,4.32%,--,--,$7.69M,$7.69M,$5.02M,$31.14M,$122.83M
IBHD,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",Blackrock,iShares iBonds 2024 Term High Yield and Income ETF,58,-1.18%,-1.22%,-0.93%,3.59%,--,--,--,$2.44M,$2.44M,$7.33M,$39.30M,$49.31M
IBHE,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",Blackrock,iShares iBonds 2025 Term High Yield And Income ETF,42,-1.14%,-1.23%,-0.43%,3.32%,--,--,--,$0.00M,$0.00M,$2.49M,$22.54M,$32.71M
IBHF,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",Blackrock,iShares iBonds 2026 Term High Yield and Income ETF,23,-1.38%,-1.46%,-0.55%,3.11%,--,--,--,$0.00M,$0.00M,$2.52M,$7.63M,$12.69M
IBHG,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",Blackrock,iShares iBonds 2027 Term High Yield and Income ETF,15,-1.74%,-1.82%,-1.01%,--,--,--,--,$2.46M,$2.46M,$2.46M,$4.96M,$4.96M
LQD,0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares iBoxx USD Investment Grade Corporate Bond ETF,36720,-3.96%,-4.09%,-3.72%,-4.45%,6.37%,4.80%,4.33%,-$984.96M,-$308.70M,"-$1,036.45M","-$13,795.07M",-$69.65M
USIG,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares Broad USD Investment Grade Corporate Bond ETF,6670,-3.23%,-3.38%,-3.12%,-3.72%,5.53%,4.27%,3.76%,$262.61M,$215.18M,$208.73M,"$1,058.59M","$4,007.48M"
LQDH,0.24%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares Interest Rate Hedged Corporate Bond ETF,1230,-1.33%,-1.23%,-1.88%,0.64%,2.92%,2.91%,--,$166.86M,$185.99M,$553.92M,$788.08M,$945.54M
QLTA,0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares Aaa-A Rated Corporate Bond ETF,1150,-3.35%,-3.50%,-3.32%,-4.44%,4.71%,3.76%,--,$10.78M,$10.78M,$41.85M,-$195.87M,$911.62M
IGHG,0.30%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",ProShares,ProShares Investment Grade-Interest Rate Hedged ETF,1080,-1.12%,-1.21%,-2.37%,-0.20%,3.19%,2.58%,--,$52.20M,$52.20M,$79.25M,$633.00M,$703.45M
FLCO,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Franklin Templeton,Franklin Liberty Investment Grade Corporate ETF,1000,-3.39%,-3.49%,-3.26%,-4.46%,5.54%,4.02%,--,$6.34M,$6.34M,$25.82M,$18.97M,"$1,007.76M"
SUSC,0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares ESG Aware USD Corporate Bond ETF,844,-3.30%,-3.47%,-3.20%,-3.90%,5.61%,--,--,-$37.39M,-$25.11M,$31.19M,$116.92M,$852.33M
CORP,0.20%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",PIMCO,PIMCO Investment Grade Corporate Bond Index ETF,795,-3.23%,-3.35%,-3.06%,-3.49%,5.91%,4.39%,4.13%,$5.86M,$5.86M,$23.07M,$6.33M,$98.96M
GIGB,0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Goldman Sachs,Goldman Sachs Access Investment Grade Corporate Bond ETF,776,-3.46%,-3.76%,-3.65%,-4.69%,5.22%,--,--,$8.09M,$8.09M,$27.06M,$49.71M,$421.50M
VTC,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Vanguard,Vanguard Total Corporate Bond ETF,671,-3.36%,-3.48%,-3.21%,-3.77%,5.57%,--,--,-$15.13M,-$15.13M,-$12.41M,-$13.98M,$585.64M
IG,0.19%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Principal,Principal Investment Grade Corporate Active ETF,438,-3.42%,-3.37%,-3.16%,-3.65%,6.39%,--,--,-$38.78M,-$38.78M,-$34.83M,$124.04M,$220.15M
SPBO,0.03%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",State Street Global Advisors,SPDR Portfolio Corporate Bond ETF,359,-3.30%,-3.44%,-3.13%,-3.64%,6.02%,4.46%,3.86%,$3.59M,$3.59M,-$46.99M,$48.94M,$317.06M
VCEB,0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Vanguard,Vanguard ESG U.S. Corporate Bond ETF,307,-3.35%,-3.46%,-3.14%,-4.05%,--,--,--,$21.52M,$43.49M,$73.10M,$228.23M,$288.27M
IGEB,0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares Edge Investment Grade Enhanced Bond ETF,167,-3.21%,-3.28%,-3.00%,-3.44%,6.68%,--,--,$0.00M,$0.00M,$13.36M,$16.14M,$69.66M
LQDI,0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares Inflation Hedged Corporate Bond ETF,119,-4.64%,-3.63%,-4.48%,2.59%,9.24%,--,--,$22.74M,$27.29M,$59.29M,$93.78M,$109.72M
UCRD,0.40%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Victory Capital,VictoryShares ESG Corporate Bond ETF,112,-2.94%,-2.94%,-2.36%,--,--,--,--,$9.69M,$9.69M,$14.67M,$902.60M,$902.60M
LQDB,0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares BBB Rated Corporate Bond ETF,74,-3.41%,-3.47%,-3.75%,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
JIGB,0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",JPMorgan Chase,JPMorgan Corporate Bond Research Enhanced ETF,53,-3.63%,-3.56%,-3.66%,-4.63%,5.38%,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$28.16M
FEIG,0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Northern Trust,FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,48,-3.47%,-3.54%,-3.26%,--,--,--,--,$0.00M,$0.00M,$0.00M,-$0.00M,-$0.00M
WFIG,0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",WisdomTree,WisdomTree U.S. Corporate Bond Fund,47,-3.61%,-3.76%,-3.45%,-3.79%,5.40%,3.98%,--,$0.00M,$0.00M,$0.00M,-$5.42M,$43.56M
SCRD,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Janus Henderson,Janus Henderson Sustainable Corporate Bond ETF,45,-3.20%,-3.14%,-3.08%,--,--,--,--,$0.00M,$0.00M,-$2.47M,$17.66M,$17.66M
PFIG,0.22%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Invesco,Invesco Fundamental Investment Grade Corporate Bond ETF,41,-2.06%,-2.06%,-2.10%,-3.15%,4.22%,3.26%,2.87%,-$3.90M,-$3.90M,-$5.23M,-$10.61M,-$94.17M
RBND,0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",State Street Global Advisors,SPDR Bloomberg SASB Corporate Bond ESG Select ETF,29,-3.58%,-3.61%,-3.30%,-3.88%,--,--,--,$0.00M,$0.00M,$0.00M,$3.73M,$3.73M
SPXB,0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",ProShares,ProShares S&P 500 Bond ETF,24,-3.86%,-3.84%,-3.50%,-3.85%,6.80%,--,--,-$8.92M,-$8.92M,-$8.92M,-$6.67M,-$3.53M
JHCB,0.29%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",John Hancock,John Hancock Corporate Bond ETF,20,-3.38%,-3.22%,-3.00%,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
ELQD,0.18%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Blackrock,iShares ESG Advanced Investment Grade Corporate Bond ETF,19,-3.87%,-3.99%,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
MIG,0.20%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",VanEck,VanEck Moody's Analytics IG Corporate Bond ETF,14,-3.18%,-3.22%,-3.08%,-2.67%,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$15.00M
MBBB,0.25%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",VanEck,VanEck Moody's Analytics BBB Corporate Bond ETF,10,-3.21%,-3.23%,-3.17%,-2.50%,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$10.00M
ESCR,0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",DWS,Xtrackers Bloomberg US Investment Grade Corporate ESG ETF,7,-3.51%,-3.60%,-3.58%,-4.67%,-0.34%,0.58%,--,$0.00M,$0.00M,$1.10M,-$0.02M,-$1.65M
FLTR,0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Floating Rate",VanEck,VanEck Investment Grade Floating Rate ETF,798,0.04%,0.05%,-0.18%,0.19%,2.14%,2.08%,2.16%,$34.13M,$36.65M,$50.56M,$349.66M,$182.08M
VCIT,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Vanguard,Vanguard Intermediate-Term Corporate Bond ETF,46020,-2.79%,-2.87%,-2.63%,-3.93%,5.52%,4.28%,4.16%,$2.32M,$2.13M,"$2,158.00M","$4,926.37M","$24,215.76M"
IGIB,0.06%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Blackrock,iShares 5-10 Year Investment Grade Corporate Bond ETF,11420,-2.78%,-2.85%,-2.57%,-3.89%,5.67%,4.24%,3.52%,$72.41M,$125.69M,-$49.98M,$931.20M,"$5,682.05M"
SPIB,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",State Street Global Advisors,SPDR Portfolio Intermediate Term Corporate Bond ETF,5550,-1.91%,-1.94%,-1.93%,-2.81%,4.35%,3.44%,3.26%,$7.50M,$36.36M,-$382.44M,-$275.72M,"$1,129.46M"
BSCO,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Invesco,Invesco BulletShares 2024 Corporate Bond ETF,1850,-1.05%,-0.96%,-1.26%,-1.59%,4.76%,3.93%,--,$78.14M,$133.69M,$192.78M,$609.06M,"$1,471.29M"
IBDO,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Blackrock,iShares iBonds Dec 2023 Term Corporate ETF,1680,-0.35%,-0.31%,-0.57%,-0.56%,4.12%,3.42%,--,$20.49M,$33.32M,$35.95M,$299.36M,"$1,113.50M"
IBDP,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Blackrock,iShares iBonds Dec 2024 Term Corporate ETF,1580,-0.66%,-0.62%,-0.96%,-1.29%,4.67%,3.86%,--,$21.95M,$49.15M,$125.80M,$413.21M,"$1,193.00M"
IBDQ,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Blackrock,iShares iBonds Dec 2025 Term Corporate ETF,1300,-1.29%,-1.29%,-1.61%,-2.47%,5.37%,4.35%,--,$17.04M,$35.53M,$68.58M,$351.23M,$923.56M
BSCP,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Invesco,Invesco BulletShares 2025 Corporate Bond ETF,1160,-1.46%,-1.46%,-1.68%,-2.49%,5.09%,4.18%,--,$19.54M,$52.35M,$91.88M,$285.74M,$983.79M
IBDR,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Blackrock,iShares iBonds Dec 2026 Term Corporate ETF,998,-1.84%,-1.77%,-2.04%,-3.26%,5.80%,4.45%,--,$56.70M,$56.70M,$155.94M,$418.89M,$795.41M
