,expense,segment,aum,name_x,ticker,issuer,return_5y,return_10y,return_3y,return_1m,name_y,return_1y,return_3m,return_ytd,name,flow_1y,flow_3m,flow_ytd,flow_1m,flow_3y
1344,0.84%,Equity: U.S. - Total Market,$15.73M,Innovator IBD Breakout Opportunities ETF,BOUT,Innovator,--,--,22.68%,-8.28%,Innovator IBD Breakout Opportunities ETF,-0.50%,-4.55%,-9.81%,Innovator IBD Breakout Opportunities ETF,$1.47M,$2.02M,-$1.85M,$0.09M,$2.02M
1345,0.60%,Equity: U.S. - Large Cap,$15.72M,Global X NASDAQ 100 Risk Managed Income ETF,QRMI,"Mirae Asset Global Investments Co., Ltd.",--,--,--,-5.95%,Global X NASDAQ 100 Risk Managed Income ETF,--,-6.76%,-5.78%,Global X NASDAQ 100 Risk Managed Income ETF,$17.12M,$12.72M,$3.92M,$4.62M,$17.12M
1346,0.95%,Inverse Equity: U.S. Real Estate,$15.69M,ProShares UltraShort Real Estate,SRS,ProShares,-26.67%,-24.95%,-34.89%,13.88%,ProShares UltraShort Real Estate,-39.88%,5.56%,21.96%,ProShares UltraShort Real Estate,$0.15M,$2.08M,-$0.00M,-$0.00M,$34.77M
1347,0.18%,Equity: U.S. Media & Entertainment,$15.65M,iShares Evolved U.S. Media and Entertainment ETF,IEME,Blackrock,--,--,9.95%,-6.91%,iShares Evolved U.S. Media and Entertainment ETF,-10.78%,-15.27%,-6.49%,iShares Evolved U.S. Media and Entertainment ETF,$3.98M,$0.00M,$0.00M,$0.00M,$9.09M
1348,0.54%,"Fixed Income: U.S. - Corporate, Preferred",$15.54M,John Hancock Preferred Income ETF,JHPI,John Hancock,--,--,--,-0.92%,John Hancock Preferred Income ETF,--,--,-1.52%,John Hancock Preferred Income ETF,$15.63M,$15.63M,$0.63M,$0.63M,$15.63M
1349,0.79%,Leveraged Equity: U.S. - Large Cap,$15.32M,Innovator Double Stacker 9 Buffer ETF - January,DBJA,Innovator,--,--,--,-6.17%,Innovator Double Stacker 9 Buffer ETF - January,3.36%,-5.54%,-6.24%,Innovator Double Stacker 9 Buffer ETF - January,$5.86M,$2.09M,$3.49M,$3.49M,$14.80M
1350,0.45%,Equity: U.S. - Large Cap,$15.19M,Democratic Large Cap Core ETF,DEMZ,"Reflection Asset Management, LLC",--,--,--,-9.00%,Democratic Large Cap Core ETF,18.76%,-6.18%,-10.38%,Democratic Large Cap Core ETF,$13.73M,$9.57M,$2.86M,$4.38M,$15.76M
1351,0.75%,Equity: U.S. - Large Cap,$14.95M,Pacer Swan SOS Moderate October ETF,PSMO,Pacer Advisors,--,--,--,-2.74%,Pacer Swan SOS Moderate October ETF,--,-1.95%,-3.05%,Pacer Swan SOS Moderate October ETF,$15.15M,$6.30M,$0.00M,-$3.18M,$15.15M
1352,0.24%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",$14.77M,VanEck HIP Sustainable Muni ETF,SMI,VanEck,--,--,--,-1.56%,VanEck HIP Sustainable Muni ETF,--,-0.46%,-1.55%,VanEck HIP Sustainable Muni ETF,$15.00M,$2.50M,$0.00M,$0.00M,$15.00M
1353,0.45%,Equity: U.S. - High Dividend Yield,$14.72M,Sound Equity Income ETF,SDEI,Toroso Investments,--,--,--,0.30%,Sound Equity Income ETF,26.71%,2.50%,-1.24%,Sound Equity Income ETF,$13.08M,$2.54M,$0.00M,$0.65M,$13.08M
1354,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Intermediate",$14.65M,iShares iBonds 2027 Term High Yield and Income ETF,IBHG,Blackrock,--,--,--,-1.45%,iShares iBonds 2027 Term High Yield and Income ETF,--,-0.50%,-1.37%,iShares iBonds 2027 Term High Yield and Income ETF,$4.96M,$2.46M,$2.46M,$2.46M,$4.96M
1355,0.95%,"Inverse Equity: U.S. Oil, Gas & Consumable Fuels",$14.54M,ProShares UltraShort Oil & Gas,DUG,ProShares,-29.13%,-22.66%,-45.27%,-28.59%,ProShares UltraShort Oil & Gas,-71.25%,-22.91%,-27.27%,ProShares UltraShort Oil & Gas,$12.43M,-$3.48M,$1.37M,$1.37M,$20.19M
1356,0.80%,Equity: U.S. - Extended Market,$14.48M,First Trust Horizon Managed Volatility Small/Mid ETF,HSMV,First Trust,--,--,--,-5.45%,First Trust Horizon Managed Volatility Small/Mid ETF,10.49%,-4.07%,-7.17%,First Trust Horizon Managed Volatility Small/Mid ETF,-$1.57M,-$0.00M,$0.00M,$0.00M,$7.39M
1357,0.20%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$14.43M,VanEck Moody's Analytics IG Corporate Bond ETF,MIG,VanEck,--,--,--,-2.76%,VanEck Moody's Analytics IG Corporate Bond ETF,-2.18%,-2.31%,-2.73%,VanEck Moody's Analytics IG Corporate Bond ETF,$0.00M,$0.00M,$0.00M,$0.00M,$15.00M
1358,0.79%,Equity: U.S. - Large Cap,$14.01M,TrueShares Structured Outcome ETF - July,JULZ,TrueMark Investments,--,--,--,-5.87%,TrueShares Structured Outcome ETF - July,10.81%,-3.26%,-6.43%,TrueShares Structured Outcome ETF - July,$3.46M,-$0.88M,$0.00M,-$0.88M,$12.09M
1359,0.53%,Equity: U.S. - Large Cap,$13.98M,Simplify Hedged Equity ETF,HEQT,Simplify Asset Management Inc.,--,--,--,-4.52%,Simplify Hedged Equity ETF,--,--,-5.03%,Simplify Hedged Equity ETF,$14.52M,$14.52M,$1.25M,$2.53M,$14.52M
1360,0.45%,Equity: U.S. - Large Cap,$13.63M,Simplify Nasdaq 100 PLUS Convexity ETF,QQC,Simplify Asset Management Inc.,--,--,--,-14.28%,Simplify Nasdaq 100 PLUS Convexity ETF,2.89%,-8.13%,-14.05%,Simplify Nasdaq 100 PLUS Convexity ETF,$12.30M,$6.76M,-$2.36M,-$2.36M,$12.30M
1361,0.72%,Equity: U.S. - Large Cap,$13.38M,Point Bridge GOP Stock Tracker ETF,MAGA,Point Bridge Capital,--,--,16.63%,-1.08%,Point Bridge GOP Stock Tracker ETF,24.94%,-1.04%,-2.85%,Point Bridge GOP Stock Tracker ETF,$0.97M,$0.00M,$0.00M,$0.00M,-$23.69M
1362,0.79%,Equity: U.S. - Large Cap,$13.31M,TrueShares Structured Outcome ETF - November,NOVZ,TrueMark Investments,--,--,--,-5.87%,TrueShares Structured Outcome ETF - November,--,-3.12%,-6.28%,TrueShares Structured Outcome ETF - November,$11.42M,$10.72M,$0.83M,$0.83M,$12.12M
1363,0.79%,Equity: U.S. - Large Cap,$13.30M,Innovator Growth Accelerated ETF - Quarterly,XDQQ,Innovator,--,--,--,-13.25%,Innovator Growth Accelerated ETF - Quarterly,--,-10.27%,-13.41%,Innovator Growth Accelerated ETF - Quarterly,$12.80M,-$0.96M,$0.00M,$0.00M,$12.80M
1364,0.45%,Equity: U.S. - Total Market,$13.25M,Global X Founder-Run Companies ETF,BOSS,"Mirae Asset Global Investments Co., Ltd.",--,--,17.01%,-16.52%,Global X Founder-Run Companies ETF,-9.42%,-22.30%,-15.32%,Global X Founder-Run Companies ETF,$5.55M,$1.39M,$0.00M,$0.00M,$9.48M
1365,0.95%,Leveraged Equity: U.S. Consumer Staples,$13.17M,ProShares Ultra Consumer Goods,UGE,ProShares,20.92%,22.34%,40.67%,-10.22%,ProShares Ultra Consumer Goods,15.57%,-3.97%,-12.62%,ProShares Ultra Consumer Goods,-$2.77M,-$2.96M,-$2.96M,-$2.96M,-$2.69M
1366,1.01%,Equity: U.S. Broad Thematic,$12.92M,The Future Fund Active ETF,FFND,Future Fund Advisors,--,--,--,-16.95%,The Future Fund Active ETF,--,-23.27%,-16.60%,The Future Fund Active ETF,$16.57M,$3.98M,-$0.43M,-$0.43M,$16.57M
1367,0.84%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",$12.82M,Overlay Shares Municipal Bond ETF,OVM,Liquid Strategies,--,--,--,-3.80%,Overlay Shares Municipal Bond ETF,-0.47%,-2.35%,-3.64%,Overlay Shares Municipal Bond ETF,-$18.70M,$1.96M,$0.00M,$0.00M,$13.06M
1368,0.74%,Equity: U.S. - Large Cap,$12.78M,AllianzIM U.S. Large Cap Buffer10 Apr ETF,AZAA,PIMCO,--,--,--,-2.73%,AllianzIM U.S. Large Cap Buffer10 Apr ETF,7.85%,-1.53%,-3.09%,AllianzIM U.S. Large Cap Buffer10 Apr ETF,$6.94M,$0.00M,$0.00M,$0.00M,$8.87M
1369,0.80%,Equity: U.S. - Extended Market Growth,$12.59M,BlackRock Future Innovators ETF,BFTR,Blackrock,--,--,--,-24.19%,BlackRock Future Innovators ETF,-36.24%,-36.59%,-24.03%,BlackRock Future Innovators ETF,$8.21M,-$4.22M,$0.00M,$0.00M,$12.33M
1370,0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",$12.49M,Invesco BulletShares 2030 Municipal Bond ETF,BSMU,Invesco,--,--,--,-2.52%,Invesco BulletShares 2030 Municipal Bond ETF,-2.67%,-0.58%,-2.67%,Invesco BulletShares 2030 Municipal Bond ETF,$7.56M,$5.01M,$2.50M,$2.50M,$12.56M
1371,0.79%,Equity: U.S. - Large Cap,$12.27M,Innovator U.S. Equity Accelerated 9 Buffer ETF - January,XBJA,Innovator,--,--,--,--,Innovator U.S. Equity Accelerated 9 Buffer ETF - January,--,--,--,Innovator U.S. Equity Accelerated 9 Buffer ETF - January,$12.77M,$12.77M,$12.77M,$12.77M,$12.77M
1372,0.80%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",$12.27M,Innovator 20+ Year Treasury Bond 5 Floor ETF - Quarterly,TFJL,Innovator,--,--,--,-2.80%,Innovator 20+ Year Treasury Bond 5 Floor ETF - Quarterly,-4.84%,0.24%,-2.05%,Innovator 20+ Year Treasury Bond 5 Floor ETF - Quarterly,-$5.68M,$2.99M,$0.00M,$2.39M,$13.38M
1373,1.07%,Leveraged Equity: U.S. Software & Services,$12.19M,Direxion Daily Cloud Computing Bull 2X Shares,CLDL,Direxion,--,--,--,-34.52%,Direxion Daily Cloud Computing Bull 2X Shares,-41.37%,-53.46%,-32.36%,Direxion Daily Cloud Computing Bull 2X Shares,-$1.89M,-$3.60M,-$1.79M,-$1.25M,$20.63M
1374,0.74%,Equity: U.S. - Large Cap,$12.13M,AllianzIM U.S. Large Cap Buffer20 Apr ETF,AZBA,PIMCO,--,--,--,-1.10%,AllianzIM U.S. Large Cap Buffer20 Apr ETF,4.02%,-0.55%,-1.29%,AllianzIM U.S. Large Cap Buffer20 Apr ETF,$7.94M,-$11.46M,-$12.81M,-$12.81M,$8.66M
1375,1.07%,Inverse Equity: U.S. Internet,$12.13M,Direxion Daily Dow Jones Internet Bear 3X Shares,WEBS,Direxion,--,--,--,75.70%,Direxion Daily Dow Jones Internet Bear 3X Shares,21.30%,100.03%,69.78%,Direxion Daily Dow Jones Internet Bear 3X Shares,$3.87M,$2.13M,$2.35M,$2.35M,$13.24M
1376,0.99%,Asset Allocation:Asset Allocation Target Outcome,$11.95M,Toews Agility Shares Managed Risk ETF,MRSK,Toews Corp.,--,--,--,-3.54%,Toews Agility Shares Managed Risk ETF,-0.22%,-14.08%,-4.56%,Toews Agility Shares Managed Risk ETF,$6.39M,$3.22M,$0.00M,$0.73M,$9.76M
1377,0.85%,Equity: U.S. - Large Cap,$11.93M,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - June,XJUN,First Trust,--,--,--,-2.23%,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - June,--,-1.44%,-2.58%,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - June,$5.99M,$0.00M,$0.00M,$0.00M,$5.99M
1378,0.79%,Equity: U.S. - Total Market,$11.84M,Innovator U.S. Equity Accelerated ETF - Quarterly,XDSQ,Innovator,--,--,--,-8.86%,Innovator U.S. Equity Accelerated ETF - Quarterly,--,-6.69%,-8.95%,Innovator U.S. Equity Accelerated ETF - Quarterly,$11.42M,-$0.93M,-$1.49M,-$1.49M,$11.42M
1379,0.65%,Equity: U.S. Real Estate,$11.80M,Janus Henderson U.S. Real Estate ETF,JRE,Janus Henderson,--,--,--,-6.34%,Janus Henderson U.S. Real Estate ETF,--,-3.17%,-9.25%,Janus Henderson U.S. Real Estate ETF,$1.35M,$0.70M,$0.00M,$0.00M,$1.35M
1380,0.79%,Equity: U.S. - Large Cap,$11.73M,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,XBJL,Innovator,--,--,--,-3.05%,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,--,-1.80%,-3.47%,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,$11.63M,$1.32M,$0.65M,$0.65M,$11.63M
1381,0.95%,Inverse Equity: U.S. Financials,$11.61M,ProShares UltraShort Financials,SKF,ProShares,-31.22%,-31.63%,-39.57%,5.77%,ProShares UltraShort Financials,-43.37%,8.82%,8.22%,ProShares UltraShort Financials,-$0.22M,-$1.41M,-$0.99M,-$0.99M,$27.26M
1382,0.75%,Equity: U.S. - Large Cap,$11.44M,Pacer Swan SOS Moderate (July) ETF,PSMJ,Pacer Advisors,--,--,--,-2.54%,Pacer Swan SOS Moderate (July) ETF,--,-1.62%,-2.93%,Pacer Swan SOS Moderate (July) ETF,$11.19M,-$5.81M,$0.53M,$0.53M,$11.19M
1383,0.80%,Equity: U.S. MLPs,$11.33M,iPath S&P MLP ETN,IMLP,Barclays Capital Inc.,-1.77%,--,1.88%,12.77%,iPath S&P MLP ETN,41.52%,0.82%,9.53%,iPath S&P MLP ETN,-$3.97M,-$1.38M,-$1.38M,-$1.38M,-$17.74M
1384,0.60%,Equity: U.S. - Large Cap,$11.27M,First Trust Dorsey Wright People's Portfolio ETF,DWPP,First Trust,6.88%,--,5.52%,-8.40%,First Trust Dorsey Wright People's Portfolio ETF,11.52%,-5.87%,-9.15%,First Trust Dorsey Wright People's Portfolio ETF,-$1.45M,$1.71M,$0.00M,$0.00M,-$21.29M
1385,0.55%,Equity: U.S. - Total Market,$11.20M,Zacks Earnings Consistent Portfolio ETF,ZECP,Zacks Investment Management,--,--,--,-7.07%,Zacks Earnings Consistent Portfolio ETF,--,-2.69%,-8.30%,Zacks Earnings Consistent Portfolio ETF,$11.60M,$9.00M,$0.00M,$0.00M,$11.60M
1386,1.01%,"Fixed Income: U.S. - Government, Broad-based Investment Grade",$11.20M,FolioBeyond Rising Rates ETF,RISR,Toroso Investments,--,--,--,12.99%,FolioBeyond Rising Rates ETF,--,11.34%,12.94%,FolioBeyond Rising Rates ETF,$10.56M,$9.31M,$7.42M,$7.42M,$10.56M
1387,2.93%,Asset Allocation:Asset Allocation Target Outcome,$11.05M,WisdomTree Alternative Income Fund,HYIN,WisdomTree,--,--,--,-2.01%,WisdomTree Alternative Income Fund,--,-5.40%,-2.28%,WisdomTree Alternative Income Fund,$10.82M,-$0.41M,-$1.44M,-$1.44M,$10.82M
1388,0.99%,Equity: U.S. Consumer,$10.99M,AdvisorShares Vice ETF,VICE,AdvisorShares,--,--,12.13%,-6.90%,AdvisorShares Vice ETF,-5.18%,-9.36%,-8.41%,AdvisorShares Vice ETF,$0.51M,$0.00M,$0.00M,$0.00M,-$3.91M
1389,0.90%,Equity: U.S. - Total Market,$10.78M,Gabelli Love Our Planet & People ETF,LOPP,"GAMCO Investors, Inc.",--,--,--,-8.49%,Gabelli Love Our Planet & People ETF,--,-7.20%,-8.58%,Gabelli Love Our Planet & People ETF,$7.42M,$1.03M,$0.44M,$0.74M,$7.42M
1390,0.85%,Equity: U.S. - Large Cap,$10.69M,First Trust Hedged BuyWrite Income ETF,FTLB,First Trust,3.10%,--,3.74%,-0.07%,First Trust Hedged BuyWrite Income ETF,7.67%,-1.60%,-0.80%,First Trust Hedged BuyWrite Income ETF,$5.23M,$1.02M,$1.02M,$1.02M,$1.04M
1391,0.27%,Equity: U.S. - Large Cap,$10.55M,ProShares S&P 500 Ex-Technology ETF,SPXT,ProShares,10.75%,--,14.53%,-5.69%,ProShares S&P 500 Ex-Technology ETF,14.87%,-4.04%,-6.81%,ProShares S&P 500 Ex-Technology ETF,$4.30M,$2.38M,$0.00M,$0.00M,$6.09M
1392,0.95%,"Inverse Equity: U.S. Pharma, Biotech & Life Sciences",$10.40M,ProShares UltraShort NASDAQ Biotechnology,BIS,ProShares,-26.80%,-35.28%,-27.12%,40.32%,ProShares UltraShort NASDAQ Biotechnology,41.57%,44.77%,34.39%,ProShares UltraShort NASDAQ Biotechnology,-$1.53M,$0.27M,$1.31M,$1.31M,-$4.05M
1393,0.15%,Equity: U.S. - Mid Cap,$10.38M,Xtrackers S&P MidCap 400 ESG ETF,MIDE,DWS,--,--,--,-6.38%,Xtrackers S&P MidCap 400 ESG ETF,--,-6.65%,-7.92%,Xtrackers S&P MidCap 400 ESG ETF,$0.02M,$0.00M,$0.00M,$0.00M,$0.02M
1394,1.17%,"Fixed Income: U.S. - Broad Market, Broad-based",$10.33M,ATAC Credit Rotation ETF,JOJO,Toroso Investments,--,--,--,-3.57%,ATAC Credit Rotation ETF,--,-3.49%,-3.43%,ATAC Credit Rotation ETF,$10.99M,$4.50M,$0.47M,$0.47M,$10.99M
1395,0.15%,Equity: U.S. - Small Cap,$10.18M,Xtrackers S&P SmallCap 600 ESG ETF,SMLE,DWS,--,--,--,2.85%,Xtrackers S&P SmallCap 600 ESG ETF,--,-6.01%,-7.20%,Xtrackers S&P SmallCap 600 ESG ETF,$0.02M,$0.00M,$0.00M,$0.00M,$0.02M
1396,0.35%,Equity: U.S. - Large Cap,$10.14M,Invesco Russell 1000 Low Beta Equal Weight ETF,USLB,Invesco,10.31%,--,12.90%,-1.47%,Invesco Russell 1000 Low Beta Equal Weight ETF,16.42%,0.75%,-3.94%,Invesco Russell 1000 Low Beta Equal Weight ETF,-$0.23M,$0.00M,$0.00M,$0.00M,-$177.16M
1397,0.90%,Equity: U.S. - Total Market,$10.02M,Natixis U.S. Equity Opportunities ETF,EQOP,Natixis,--,--,--,-10.26%,Natixis U.S. Equity Opportunities ETF,9.70%,-11.30%,-6.08%,Natixis U.S. Equity Opportunities ETF,-$3.55M,$0.68M,$0.34M,$0.68M,-$3.31M
1398,0.25%,"Fixed Income: U.S. - Corporate, Bank Loans Investment Grade Floating Rate",$10.01M,AAF First Priority CLO Bond ETF,AAA,Alternative Access Funds LLC,--,--,--,-0.05%,AAF First Priority CLO Bond ETF,0.38%,0.18%,-0.14%,AAF First Priority CLO Bond ETF,$0.00M,$0.00M,$0.00M,$0.00M,$9.98M
1399,0.97%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",$9.97M,CP High Yield Trend ETF,HYTR,Counterpoint Mutual Funds LLC,--,--,--,-1.76%,CP High Yield Trend ETF,1.11%,-1.18%,-1.64%,CP High Yield Trend ETF,-$1.80M,$1.20M,$0.00M,$0.00M,$10.49M
1400,0.45%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",$9.91M,First Trust Limited Duration Investment Grade Corporate ETF,FSIG,First Trust,--,--,--,-0.72%,First Trust Limited Duration Investment Grade Corporate ETF,--,--,-0.72%,First Trust Limited Duration Investment Grade Corporate ETF,$10.00M,$10.00M,$0.00M,$0.00M,$10.00M
1401,0.18%,Equity: U.S. Financials,$9.88M,iShares Evolved U.S. Financials ETF,IEFN,Blackrock,--,--,15.98%,-0.37%,iShares Evolved U.S. Financials ETF,28.88%,-3.68%,-0.83%,iShares Evolved U.S. Financials ETF,$3.33M,$3.33M,$1.67M,$1.67M,$3.33M
1402,0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",$9.74M,Invesco BulletShares 2031 Municipal Bond ETF,BSMV,Invesco,--,--,--,-2.73%,Invesco BulletShares 2031 Municipal Bond ETF,--,-0.39%,-2.87%,Invesco BulletShares 2031 Municipal Bond ETF,$4.87M,$4.87M,$4.87M,$4.87M,$4.87M
1403,0.39%,Equity: U.S. - Total Market,$9.68M,Hartford Schroders ESG US Equity ETF,HEET,The Hartford,--,--,--,-8.42%,Hartford Schroders ESG US Equity ETF,--,-3.31%,-9.44%,Hartford Schroders ESG US Equity ETF,$10.01M,$0.00M,$0.00M,$0.00M,$10.01M
1404,0.25%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$9.66M,VanEck Moody's Analytics BBB Corporate Bond ETF,MBBB,VanEck,--,--,--,-2.83%,VanEck Moody's Analytics BBB Corporate Bond ETF,-2.07%,-2.46%,-2.81%,VanEck Moody's Analytics BBB Corporate Bond ETF,$0.00M,$0.00M,$0.00M,$0.00M,$10.00M
1405,0.95%,Inverse Equity: U.S. - Mid Cap,$9.57M,ProShares Short MidCap400,MYY,ProShares,-13.12%,-14.08%,-18.33%,7.12%,ProShares Short MidCap400,-10.50%,6.57%,9.19%,ProShares Short MidCap400,-$6.12M,-$0.58M,-$0.00M,-$0.00M,$12.22M
1406,0.35%,Equity: U.S. - Small Cap,$9.53M,iShares Factors US Small Blend Style ETF,STSB,Blackrock,--,--,--,0%,iShares Factors US Small Blend Style ETF,7.48%,0%,0%,iShares Factors US Small Blend Style ETF,$2.41M,$0.00M,$0.00M,$0.00M,$0.79M
1407,0.20%,Equity: U.S. - Large Cap,$9.45M,Invesco ESG NASDAQ 100 ETF,QQMG,Invesco,--,--,--,-13.56%,Invesco ESG NASDAQ 100 ETF,--,--,-13.66%,Invesco ESG NASDAQ 100 ETF,$5.16M,$5.16M,$1.22M,$1.22M,$5.16M
1408,1.00%,Equity: U.S. - Total Market,$9.42M,Morgan Creek - Exos SPAC Originated ETF,SPXZ,MCCM Group LLC,--,--,--,-20.05%,Morgan Creek - Exos SPAC Originated ETF,--,-27.63%,-18.22%,Morgan Creek - Exos SPAC Originated ETF,$25.39M,-$4.58M,-$1.17M,-$2.39M,$25.39M
1409,0.55%,Equity: U.S. - Large Cap Growth,$9.42M,Putnam Focused Large Cap Growth ETF,PGRO,Power Corporation of Canada,--,--,--,-14.02%,Putnam Focused Large Cap Growth ETF,--,-11.73%,-14.01%,Putnam Focused Large Cap Growth ETF,$1.40M,$0.70M,$0.70M,$0.70M,$1.40M
1410,0.35%,Equity: U.S. - Mid Cap,$9.36M,Syntax Stratified MidCap ETF,SMDY,Syntax Advisors,--,--,--,-6.99%,Syntax Stratified MidCap ETF,4.72%,-6.96%,-8.10%,Syntax Stratified MidCap ETF,$4.92M,-$0.00M,$0.00M,$0.00M,$5.81M
1411,0.99%,"Equity: U.S. Hotels, Resorts & Cruise Lines",$9.24M,AdvisorShares Hotel ETF,BEDZ,AdvisorShares,--,--,--,-8.69%,AdvisorShares Hotel ETF,--,-8.07%,-9.52%,AdvisorShares Hotel ETF,$9.20M,$0.47M,$1.16M,$1.16M,$9.20M
1412,0.79%,Equity: U.S. - Large Cap,$9.18M,Innovator U.S. Equity Accelerated Plus ETF - July,XTJL,Innovator,--,--,--,-5.01%,Innovator U.S. Equity Accelerated Plus ETF - July,--,-3.10%,-5.55%,Innovator U.S. Equity Accelerated Plus ETF - July,$9.12M,$0.00M,$0.00M,$0.00M,$9.12M
1413,0.58%,Equity: U.S. - Large Cap,$9.13M,TrueShares ESG Active Opportunities ETF,ECOZ,TrueMark Investments,--,--,--,-11.38%,TrueShares ESG Active Opportunities ETF,1.19%,-10.37%,-11.84%,TrueShares ESG Active Opportunities ETF,$0.00M,$0.00M,$0.00M,$0.00M,$7.15M
1414,0.60%,Equity: U.S. - Total Market,$9.10M,BNY Mellon Sustainable U.S. Equity ETF,BKUS,BNY Mellon,--,--,--,-10.02%,BNY Mellon Sustainable U.S. Equity ETF,--,--,-10.86%,BNY Mellon Sustainable U.S. Equity ETF,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
1415,0.40%,Equity: U.S. - Large Cap Growth,$9.03M,Direxion High Growth ETF,HIPR,Direxion,--,--,--,0%,Direxion High Growth ETF,15.57%,0%,0%,Direxion High Growth ETF,-$1.95M,$0.00M,$0.00M,$0.00M,-$0.55M
1416,0.30%,Equity: U.S. - Mid Cap,$8.97M,iShares Factors US Mid Blend Style ETF,STMB,Blackrock,--,--,--,0%,iShares Factors US Mid Blend Style ETF,16.01%,0%,0%,iShares Factors US Mid Blend Style ETF,$2.17M,$0.00M,$0.00M,$0.00M,$0.62M
1417,0.59%,Equity: U.S. - Extended Market,$8.93M,Schwab Ariel ESG ETF,SAEF,Charles Schwab,--,--,--,-5.84%,Schwab Ariel ESG ETF,--,--,-6.54%,Schwab Ariel ESG ETF,$9.51M,$9.51M,$1.30M,$1.79M,$9.51M
1418,0.27%,Equity: U.S. - Large Cap,$8.80M,ProShares S&P 500 Ex-Financials ETF,SPXN,ProShares,15.14%,--,19.36%,-8.72%,ProShares S&P 500 Ex-Financials ETF,11.99%,-4.25%,-9.40%,ProShares S&P 500 Ex-Financials ETF,$1.53M,$0.00M,$0.00M,$0.00M,$4.61M
1419,0.85%,Equity: U.S. - Mid Cap,$8.63M,Natixis Vaughan Nelson Mid Cap ETF,VNMC,Natixis,--,--,--,-13.36%,Natixis Vaughan Nelson Mid Cap ETF,1.80%,-13.50%,-6.51%,Natixis Vaughan Nelson Mid Cap ETF,$0.52M,$0.66M,$0.33M,$0.66M,$2.17M
1420,0.80%,Leveraged Equity: U.S. - Large Cap,$8.57M,Innovator Double Stacker ETF,DSOC,Innovator,--,--,--,-6.27%,Innovator Double Stacker ETF,9.17%,-4.17%,-6.83%,Innovator Double Stacker ETF,-$11.78M,$0.00M,$0.00M,$0.00M,-$9.65M
1421,0.25%,Equity: U.S. - Large Cap,$8.47M,iShares Factors US Blend Style ETF,STLC,Blackrock,--,--,--,0%,iShares Factors US Blend Style ETF,14.24%,0%,0%,iShares Factors US Blend Style ETF,$2.12M,$0.00M,$0.00M,$0.00M,$0.58M
1422,0.85%,Equity: U.S. - Total Market,$8.25M,Changebridge Capital Sustainable Equity ETF,CBSE,Changebridge Capital LLC,--,--,--,-11.10%,Changebridge Capital Sustainable Equity ETF,-5.91%,-17.57%,-11.07%,Changebridge Capital Sustainable Equity ETF,$4.73M,$0.00M,$0.00M,$0.00M,$6.78M
1423,0.79%,Equity: U.S. - Large Cap,$8.25M,Innovator Growth Accelerated Plus ETF - July,QTJL,Innovator,--,--,--,-9.87%,Innovator Growth Accelerated Plus ETF - July,--,-7.22%,-9.82%,Innovator Growth Accelerated Plus ETF - July,$8.53M,$0.70M,$0.00M,$0.00M,$8.53M
1424,0.75%,Equity: U.S. Consumer,$8.23M,B.A.D. ETF,BAD,ETFMG,--,--,--,-9.99%,B.A.D. ETF,--,--,-9.33%,B.A.D. ETF,$8.95M,$8.95M,$0.68M,$2.19M,$8.95M
1425,0.75%,Equity: U.S. - Large Cap,$7.81M,Pacer Swan SOS Flex April ETF,PSFM,Pacer Advisors,--,--,--,-3.43%,Pacer Swan SOS Flex April ETF,--,-1.99%,-3.88%,Pacer Swan SOS Flex April ETF,$7.48M,-$0.00M,$0.57M,$0.57M,$7.48M
1426,0.60%,"Equity: U.S. Food, Beverage & Tobacco",$7.78M,First Trust Nasdaq Food & Beverage ETF,FTXG,First Trust,6.70%,--,13.30%,2.63%,First Trust Nasdaq Food & Beverage ETF,8.65%,3.70%,0.09%,First Trust Nasdaq Food & Beverage ETF,$5.17M,$1.32M,$1.32M,$1.32M,$6.08M
1427,0.75%,Equity: U.S. - Total Market Growth,$7.70M,Cabot Growth ETF,CBTG,Cabot ETF Partners LLC,--,--,--,-17.82%,Cabot Growth ETF,-45.72%,-39.20%,-15.34%,Cabot Growth ETF,-$5.97M,-$12.78M,-$0.29M,-$0.29M,$19.56M
