ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
XWEB,"39,880,000 ",0.35%,Equity: U.S. Internet,SPDR S&P Internet ETF,State Street Global Advisors,-18.51%,17.07%,-32.53%,-20.79%,11.95%,--,-30.80%,-$20.64M,$4.64M,-$24.18M,$7.68M,$7.68M
MVRL,"39,880,000 ",0.95%,Leveraged Equity: U.S. Mortgage REITs,ETRACS Monthly Pay 1.5X Leveraged Mortgage REIT ETN,UBS,-6.31%,--,9.75%,-7.07%,--,--,-15.10%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
MTGP,"39,740,000 ",0.45%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade Intermediate",WisdomTree Mortgage Plus Bond Fund,WisdomTree,-1.20%,--,-2.15%,-1.33%,--,--,-1.29%,$30.59M,$0.00M,$5.11M,$0.00M,$0.00M
FFHG,"39,590,000 ",1.14%,Asset Allocation:Asset Allocation Target Outcome,FormulaFolios Hedged Growth ETF,Al Marketing LLC,-8.77%,--,7.22%,-7.78%,9.36%,--,-7.51%,-$32.97M,-$5.48M,-$19.25M,$0.00M,$0.00M
NUSA,"39,280,000 ",0.20%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",Nuveen Enhanced Yield 1-5 Year U.S. Aggregate Bond ETF,Nuveen Securities,-1.07%,--,-2.09%,-1.05%,2.63%,--,-1.43%,$10.14M,-$2.48M,$0.02M,$0.00M,$0.00M
SAA,"39,210,000 ",0.95%,Leveraged Equity: U.S. - Small Cap,ProShares Ultra SmallCap600,ProShares,-17.31%,10.78%,3.46%,-15.92%,13.71%,19.05%,-15.42%,$2.02M,$0.73M,$7.70M,$0.00M,$0.00M
IEHS,"38,840,000 ",0.18%,Equity: U.S. Health Care Equipment & Services,iShares Evolved U.S. Healthcare Staples ETF,Blackrock,-10.91%,--,6.07%,-10.24%,14.73%,--,-7.42%,$28.86M,$4.46M,$16.25M,$2.18M,$4.46M
BDCX,"38,660,000 ",0.95%,Leveraged Equity: U.S. Asset Management & Custody Banks,ETRACS Quarterly Pay 1.5X Leveraged Wells Fargo BDC Index ETN,UBS,-0.03%,--,38.69%,1.54%,--,--,0.08%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
IEIH,"38,400,000 ",0.18%,Equity: U.S. Health Care,iShares Evolved U.S. Innovative Healthcare ETF,Blackrock,-10.12%,--,-5.62%,-10.72%,11.45%,--,-8.14%,$30.83M,$0.00M,$6.95M,$0.00M,$0.00M
NACP,"38,220,000 ",0.49%,Equity: U.S. - Total Market,Impact Shares NAACP Minority Empowerment ETF,Impact Shares,-8.80%,--,13.26%,-7.89%,21.75%,--,-4.30%,$30.40M,$4.36M,$14.66M,$2.57M,$2.58M
MSVX,"37,980,000 ",1.50%,Alternatives: Absolute Returns,LHA Market State Alpha Seeker ETF,Little Harbor Advisors,1.68%,--,6.41%,1.91%,--,--,1.19%,$38.39M,$10.17M,$19.18M,$10.17M,$10.17M
MBND,"37,870,000 ",0.40%,"Fixed Income: U.S. - Government, Local Authority/Municipal Intermediate",SPDR Nuveen Municipal Bond ETF,State Street Global Advisors,-2.51%,--,--,-2.51%,--,--,-1.57%,$8.91M,-$5.99M,$8.91M,$0.00M,$0.00M
XYLG,"37,770,000 ",0.60%,Equity: U.S. - Large Cap,Global X S&P 500 Covered Call & Growth ETF,"Mirae Asset Global Investments Co., Ltd.",-7.16%,--,12.56%,-6.51%,--,--,-3.77%,$39.28M,$5.98M,$35.43M,$3.41M,$3.42M
STNC,"37,460,000 ",0.85%,Equity: U.S. - Large Cap,Stance Equity ESG Large Cap Core ETF,Red Gate Advisers LLC,-9.80%,--,--,-8.19%,--,--,-4.70%,$7.81M,$1.71M,$7.81M,$1.43M,$1.43M
DFNM,"37,360,000 ",0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",Dimensional National Municipal Bond ETF,Dimensional Fund Advisors LP,-1.53%,--,--,-1.47%,--,--,--,$27.60M,$27.60M,$27.60M,$4.99M,$12.54M
UNOV,"37,350,000 ",0.79%,Equity: U.S. - Large Cap,Innovator S&P 500 Ultra Buffer ETF - November,Innovator,-2.99%,--,0.93%,-2.60%,--,--,-2.26%,$36.37M,$28.65M,$20.74M,$0.73M,$0.73M
HIBS,"37,190,000 ",1.03%,Inverse Equity: U.S. - Large Cap,Direxion Daily S&P 500 High Beta Bear 3X Shares,Direxion,25.06%,--,-69.33%,22.39%,--,--,13.02%,$144.60M,$7.59M,$25.09M,$4.74M,$6.37M
AZBO,"37,140,000 ",0.74%,Equity: U.S. - Large Cap,AllianzIM U.S. Large Cap Buffer20 Oct ETF,PIMCO,-2.36%,--,3.65%,-2.08%,--,--,-1.32%,$6.03M,-$0.71M,$5.41M,-$2.07M,-$2.07M
PAMC,"37,080,000 ",0.60%,Equity: U.S. - Mid Cap,Pacer Lunt MidCap Multi-Factor Alternator ETF,Pacer Advisors,-7.80%,--,-2.09%,-6.57%,--,--,-8.66%,$32.57M,-$1.71M,$18.20M,-$5.34M,-$5.34M
NAPR,"36,740,000 ",0.79%,Equity: U.S. - Large Cap,Innovator Growth-100 Power Buffer ETF - April,Innovator,-3.05%,--,5.56%,-2.86%,--,--,-1.95%,$31.76M,-$3.85M,$21.78M,-$0.96M,-$1.93M
TAGG,"36,640,000 ",0.08%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",T. Rowe Price QM U.S. Bond ETF,"T. Rowe Price Group, Inc.",-2.27%,--,--,-2.24%,--,--,-2.04%,$17.47M,$10.01M,$17.47M,$0.00M,$1.25M
GERM,"36,500,000 ",0.68%,Equity: U.S. Life Sciences Tools & Services,ETFMG Treatments Testing and Advancements ETF,ETFMG,-25.20%,--,-30.28%,-27.38%,--,--,-30.44%,$42.44M,-$5.13M,-$5.15M,-$1.42M,-$1.42M
WOMN,"36,490,000 ",0.75%,Equity: U.S. - Total Market,Impact Shares YWCA Women's Empowerment ETF,Impact Shares,-7.85%,--,12.68%,-7.45%,24.11%,--,-3.85%,$30.19M,$6.23M,$22.16M,$1.76M,$1.76M
SMIG,"36,470,000 ",0.60%,Equity: U.S. - Extended Market,AAM Bahl & Gaynor Small/Mid Cap Income Growth ETF,Advisors Asset Management,-8.28%,--,--,-6.40%,--,--,-4.75%,$38.29M,$32.28M,$38.29M,$15.93M,$17.24M
BUL,"36,440,000 ",0.60%,Equity: U.S. - Total Market Growth,Pacer US Cash Cows Growth ETF,Pacer Advisors,-11.49%,--,9.23%,-10.18%,--,--,-3.99%,$36.60M,$31.81M,$33.79M,$15.30M,$15.30M
KSCD,"36,380,000 ",0.51%,Equity: U.S. - Small Cap,KFA Small Cap Quality Dividend Index ETF,CICC,-6.50%,--,5.36%,-5.21%,--,--,-1.75%,$33.01M,$4.39M,-$0.85M,$2.93M,$2.93M
DFND,"36,080,000 ",1.50%,Equity: U.S. - Large Cap,Siren DIVCON Dividend Defender ETF,SRN Advisors,-10.26%,9.66%,2.40%,-9.07%,11.02%,--,-4.14%,$25.65M,$1.02M,-$13.04M,$0.00M,$0.00M
SIXO,"36,060,000 ",0.74%,Equity: U.S. - Large Cap,AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,PIMCO,-2.81%,--,--,-2.45%,--,--,-1.45%,$20.66M,-$2.04M,$20.66M,-$7.78M,-$7.78M
MBOX,"35,920,000 ",0.39%,Equity: U.S. - Total Market,Freedom Day Dividend ETF,Alpha Architect,-5.00%,--,--,-3.46%,--,--,-0.26%,$35.23M,$4.79M,$35.23M,$1.60M,$2.69M
SCDL,"35,860,000 ",0.95%,Leveraged Equity: U.S. - High Dividend Yield,ETRACS 2x Leveraged U.S. Dividend Factor TR ETN,UBS,-8.91%,--,--,-6.48%,--,--,-1.48%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
AMND,"35,680,000 ",0.75%,Equity: U.S. MLPs,ETRACS Alerian Midstream Energy Dividend Index ETN,UBS,8.48%,--,35.20%,10.56%,--,--,0.01%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
HOLD,"35,400,000 ",0.35%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",AdvisorShares North Square McKee Core Reserves ETF,AdvisorShares,-0.05%,1.23%,-0.13%,-0.03%,0.96%,--,-0.10%,-$30.87M,-$3.94M,-$11.34M,$0.00M,$0.00M
BBSA,"35,230,000 ",0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,JPMorgan Chase,-1.04%,--,-2.26%,-1.04%,--,--,-1.31%,$7.91M,$0.02M,-$18.03M,$0.00M,$0.00M
GFGF,"35,190,000 ",0.65%,Equity: U.S. - Total Market,Guru Favorite Stocks ETF,Alpha Architect,-9.39%,--,--,-9.01%,--,--,--,$37.96M,$37.96M,$37.96M,$17.04M,$24.65M
MLPR,"35,140,000 ",0.95%,Leveraged Equity: U.S. MLPs,ETRACS Quarterly Pay 1.5X Leveraged Alerian MLP Index ETN,UBS,14.37%,--,63.37%,20.45%,--,--,2.99%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
RWVG,"34,380,000 ",0.64%,Equity: U.S. - Large Cap Value,Direxion Russell 1000 Value Over Growth ETF,Direxion,-0.05%,--,19.85%,1.90%,6.16%,--,-0.42%,$11.46M,-$0.09M,-$0.08M,$1.52M,$1.52M
FEVR,"34,370,000 ",0.85%,Equity: U.S. - Large Cap,Inspire Faithward Large Cap Momentum ESG ETF,Inspire,-16.77%,--,-7.84%,-16.72%,--,--,-19.63%,$13.16M,-$17.88M,$11.81M,-$10.14M,-$10.14M
PBSM,"34,210,000 ",0.06%,Equity: U.S. - Small Cap,Invesco PureBeta MSCI U.S.A. Small Cap ETF,Invesco,-10.40%,--,-0.43%,-9.67%,13.63%,--,-11.44%,$30.77M,-$0.64M,$18.44M,$0.00M,$1.95M
UJB,"34,100,000 ",1.14%,"Leveraged Fixed Income: U.S. - Corporate, Broad-based High Yield",ProShares Ultra High Yield,ProShares,-5.04%,6.23%,1.13%,-5.56%,7.61%,7.45%,-3.57%,$30.72M,$4.30M,$14.01M,-$7.80M,-$7.80M
HYLV,"34,030,000 ",0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",IQ S&P High Yield Low Volatility Bond ETF,New York Life,-3.09%,--,-0.83%,-3.11%,4.40%,--,-1.97%,-$54.54M,-$2.45M,-$71.35M,-$2.45M,-$2.45M
FRTY,"33,690,000 ",0.60%,Equity: U.S. - Mid Cap Growth,Alger Mid Cap 40 ETF,Alger Group Holdings LLC,-13.97%,--,--,-13.94%,--,--,-24.56%,$35.13M,$3.48M,$35.13M,$0.00M,$0.00M
QDPL,"33,440,000 ",0.79%,Asset Allocation:Asset Allocation Target Outcome,Pacer Metaurus US Large Cap Dividend Multiplier 400 ETF,Pacer Advisors,-7.62%,--,--,-7.14%,--,--,-4.31%,$34.84M,$10.88M,$34.84M,$2.09M,$4.32M
IDIV,"33,230,000 ",0.87%,Asset Allocation:Asset Allocation Target Outcome,U.S. Equity Cumulative Dividends Fund-Series 2027,Metaurus Advisors,0.59%,--,11.41%,2.49%,7.44%,--,2.83%,$36.16M,-$0.01M,$13.83M,-$0.00M,$0.00M
AVDR,"33,060,000 ",0.60%,Equity: U.S. - Large Cap,AVDR US LargeCap Leading ETF,New Age Alpha Advisors LLC,-13.40%,--,8.23%,-12.24%,--,--,-11.06%,$34.59M,$7.13M,$33.95M,$3.05M,$3.86M
QDIV,"32,900,000 ",0.20%,Equity: U.S. - Large Cap,Global X S&P 500 Quality Dividend ETF,"Mirae Asset Global Investments Co., Ltd.",-0.10%,--,24.25%,1.53%,14.53%,--,1.94%,$24.24M,$22.92M,$24.93M,$18.05M,$19.69M
IWDL,"32,700,000 ",0.95%,Equity: U.S. - Large Cap Value,ETRACS 2x Leveraged US Value Factor TR ETN,UBS,-9.54%,--,--,-7.32%,--,--,-6.55%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
DWSH,"32,690,000 ",3.68%,Inverse Equity: U.S. - Large Cap,AdvisorShares Dorsey Wright Short ETF,AdvisorShares,3.89%,--,-14.80%,3.04%,-30.12%,--,2.91%,$105.19M,$3.16M,$5.25M,$0.13M,-$1.15M
LGOV,"32,580,000 ",0.70%,"Fixed Income: U.S. - Government, Broad-based Long-Term",First Trust Long Duration Opportunities ETF,First Trust,-2.61%,--,-3.39%,-2.76%,3.38%,--,-1.26%,$23.32M,-$1.37M,-$2.76M,$0.00M,$0.00M
RFFC,"32,470,000 ",0.52%,Equity: U.S. - Total Market,RiverFront Dynamic U.S. Flex-Cap ETF,SS&C,-6.45%,10.93%,11.25%,-5.63%,13.75%,--,-3.72%,-$130.20M,-$18.24M,-$47.06M,-$10.16M,-$10.16M
TYO,"32,410,000 ",1.08%,"Inverse Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",Direxion Daily 7-10 Year Treasury Bear 3x Shares,Direxion,8.26%,-9.56%,12.24%,9.04%,-12.46%,-10.17%,4.03%,$19.52M,$2.21M,$24.03M,$0.03M,$0.03M
ACVF,"32,150,000 ",0.75%,Equity: U.S. - Large Cap,American Conservative Values ETF,Ridgeline Research LLC,-8.81%,--,14.60%,-8.14%,--,--,-5.33%,$28.20M,$3.47M,$27.49M,$0.00M,$0.00M
UAUG,"32,140,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Ultra Buffer ETF - August,Innovator,-2.70%,--,2.11%,-2.41%,--,--,-1.76%,$25.42M,-$13.84M,-$0.72M,-$0.73M,-$1.46M
SOGU,"31,950,000 ",0.95%,Inverse Equity: U.S. - Total Market,The Short De-SPAC ETF,"Tuttle Tactical Management, LLC",36.04%,--,--,39.16%,--,--,52.59%,$19.60M,$1.64M,$19.60M,$1.82M,$3.35M
CWS,"31,360,000 ",0.66%,Equity: U.S. - Total Market,AdvisorShares Focused Equity ETF,AdvisorShares,-11.11%,13.26%,9.44%,-9.24%,16.09%,--,-3.47%,$7.79M,$1.81M,$3.88M,$1.29M,$1.31M
UGCE,"31,290,000 ",0.65%,Equity: U.S. - Total Market,Uncommon Portfolio Design Core Equity ETF,Uncommon Investment Advisors LLC,-7.42%,--,--,-6.66%,--,--,-5.22%,$31.58M,$3.74M,$31.58M,$0.54M,$0.54M
LRNZ,"31,010,000 ",0.68%,Equity: U.S. Robotics & AI,"TrueShares Technology, AI & Deep Learning ETF",TrueMark Investments,-25.42%,--,-28.38%,-26.47%,--,--,-30.85%,$36.01M,$13.20M,$13.70M,$7.61M,$12.36M
IBTH,"30,960,000 ",0.07%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",iShares iBonds Dec 2027 Term Treasury ETF,Blackrock,-1.91%,--,-4.85%,-2.01%,--,--,-1.82%,$29.31M,$2.52M,$17.50M,$0.00M,$0.00M
IBCE,"30,630,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",iShares iBonds Mar 2023 Term Corporate ex-Financials ETF,Blackrock,-0.02%,2.83%,0.05%,-0.04%,3.49%,--,-0.07%,-$15.37M,$0.00M,$3.73M,$0.00M,$0.00M
QULL,"30,490,000 ",0.95%,Leveraged Equity: U.S. - Total Market,ETRACS 2x Leveraged MSCI US Quality Factor TR ETN,UBS,-21.00%,--,--,-19.53%,--,--,-15.57%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
USML,"30,370,000 ",0.95%,Leveraged Equity: U.S. - Total Market,ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN,UBS,-17.79%,--,--,-15.61%,--,--,-10.92%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
RORO,"30,260,000 ",1.13%,Asset Allocation: U.S. Target Outcome,ATAC US Rotation ETF,Toroso Investments,-16.42%,--,-12.37%,-16.23%,--,--,-17.74%,$33.98M,$2.03M,$8.26M,-$1.49M,-$3.87M
ASPY,"30,030,000 ",0.95%,Alternatives: Absolute Returns,ASYMshares ASYMmetric S&P 500 ETF,ASYMmetric ETFs,-8.20%,--,--,-7.08%,--,--,-3.94%,$30.19M,$12.95M,$30.19M,$7.73M,$8.63M
JAVA,"29,840,000 ",0.44%,Equity: U.S. - Large Cap Value,JPMorgan Active Value ETF,JPMorgan Chase,-1.03%,--,--,-0.13%,--,--,0.27%,$3.89M,$2.65M,$3.89M,$2.65M,$2.65M
TBUX,"29,830,000 ",0.17%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",T. Rowe Price Ultra Short-Term Bond ETF,"T. Rowe Price Group, Inc.",-0.11%,--,--,-0.10%,--,--,-0.22%,$9.96M,$7.46M,$9.96M,$4.97M,$6.22M
KVLE,"29,690,000 ",0.56%,Equity: U.S. - Large Cap Value,KFA Value Line Dynamic Core Equity Index ETF,CICC,-6.93%,--,16.11%,-5.56%,--,--,-1.35%,$27.29M,$1.20M,$12.01M,$1.20M,$1.19M
VPC,"29,690,000 ",5.53%,Asset Allocation:Asset Allocation Target Outcome,Virtus Private Credit Strategy ETF,Virtus Investment Partners,-1.71%,--,18.15%,-1.01%,--,--,-3.50%,$107.19M,$3.05M,$3.26M,$0.00M,$0.00M
RNLC,"29,360,000 ",0.60%,Equity: U.S. - Large Cap,First Trust Large Cap U.S. Equity Select ETF,First Trust,-8.26%,--,15.32%,-6.86%,17.59%,--,-3.55%,$2.84M,-$1.66M,$1.61M,-$1.66M,-$1.66M
MBCC,"29,190,000 ",1.25%,Equity: U.S. - Large Cap,Monarch Blue Chips Core ETF,Kingsview Partners LLC,-12.85%,--,--,-12.18%,--,--,-12.59%,$28.77M,$3.64M,$28.77M,$0.69M,$2.17M
TSJA,"29,150,000 ",0.79%,Leveraged Equity: U.S. - Total Market,Innovator Triple Stacker ETF - January,Innovator,-9.15%,--,4.16%,-9.02%,--,--,-8.00%,$27.21M,-$12.66M,$7.34M,-$12.65M,-$12.65M
FEHY,"29,120,000 ",0.23%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",FlexShares ESG & Climate High Yield Corporate Core Index Fund,Northern Trust,-2.26%,--,--,-2.32%,--,--,-1.39%,-$19.75M,-$19.75M,-$19.75M,$0.00M,-$9.92M
JHMF,"29,060,000 ",0.40%,Equity: U.S. Financials,John Hancock Multifactor Financials ETF,John Hancock,-2.76%,12.09%,24.49%,-2.13%,16.16%,--,-6.84%,-$36.17M,-$9.58M,-$7.16M,$0.00M,$0.00M
FEDL,"28,970,000 ",0.00%,Leveraged Equity: U.S. - Large Cap,ETRACS 2x Leveraged IFED Invest with the Fed TR Index ETN,UBS,-3.87%,--,--,-2.16%,--,--,0.26%,--,--,--,--,--
SPXE,"28,950,000 ",0.27%,Equity: U.S. - Large Cap,ProShares S&P 500 Ex-Energy ETF,ProShares,-9.49%,14.94%,12.84%,-8.77%,19.20%,--,-5.21%,$12.45M,$2.03M,$4.15M,$0.00M,$0.00M
RBND,"28,740,000 ",0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",SPDR Bloomberg SASB Corporate Bond ESG Select ETF,State Street Global Advisors,-3.58%,--,-3.88%,-3.61%,--,--,-3.30%,$3.73M,$0.00M,$3.73M,$0.00M,$0.00M
PSCU,"28,490,000 ",0.29%,Equity: U.S. Communication Services,Invesco S&P SmallCap Utilities & Communication Services ETF,Invesco,-6.39%,8.29%,10.80%,-5.90%,9.50%,10.90%,-3.32%,-$34.55M,$4.78M,$4.70M,$1.31M,$1.31M
WBIT,"28,290,000 ",0.67%,Asset Allocation:Asset Allocation Target Outcome,WBI BullBear Trend Switch U.S. 3000 Total Return ETF,WBI,-2.35%,--,6.90%,-2.34%,--,--,-0.43%,$29.10M,-$1.06M,-$2.61M,-$0.53M,-$0.53M
CEFD,"28,240,000 ",0.95%,Asset Allocation:Asset Allocation Target Outcome,ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN,UBS,-10.28%,--,7.34%,-8.95%,--,--,-10.79%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
BSMQ,"27,930,000 ",0.18%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Intermediate",Invesco BulletShares 2026 Municipal Bond ETF,Invesco,-2.06%,--,-1.43%,-2.19%,--,--,-1.48%,$17.95M,$2.56M,$7.75M,$2.56M,$2.56M
NULC,"27,870,000 ",0.20%,Equity: U.S. - Large Cap,Nuveen ESG Large-Cap ETF,Nuveen Securities,-10.51%,--,9.63%,-9.68%,--,--,-8.50%,$17.78M,$2.15M,$7.99M,$0.00M,$0.00M
IBDW,"27,760,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2031 Term Corporate ETF,Blackrock,-3.61%,--,--,-3.72%,--,--,-3.50%,$18.70M,$14.91M,$18.70M,$0.00M,$9.93M
EQRR,"27,610,000 ",0.35%,Equity: U.S. - Large Cap,ProShares Equities for Rising Rates ETF,ProShares,0.89%,--,31.20%,2.11%,8.11%,--,-2.49%,$21.87M,$20.71M,$25.95M,$18.10M,$18.10M
RAFE,"27,470,000 ",0.30%,Equity: U.S. - Total Market,PIMCO RAFI ESG U.S. ETF,PIMCO,-4.65%,--,20.23%,-3.97%,--,--,-0.67%,$17.16M,$6.50M,$12.44M,$1.58M,$1.58M
FHYS,"27,430,000 ",0.51%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",Federated Hermes Short Duration High Yield ETF,"Federated Hermes, Inc.",-1.46%,--,--,-1.45%,--,--,--,$27.50M,$27.50M,$27.50M,$2.50M,$2.50M
UMAR,"27,380,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Ultra Buffer ETF - March,Innovator,-0.92%,--,6.30%,-0.74%,--,--,-0.16%,$20.68M,-$5.93M,-$0.50M,-$0.74M,-$0.74M
BKUI,"27,330,000 ",0.12%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",BNY Mellon Ultra Short Income ETF,BNY Mellon,-0.18%,--,--,-0.15%,--,--,-0.32%,$2.51M,$0.01M,$2.51M,$0.00M,$0.00M
USAI,"27,170,000 ",0.75%,Equity: U.S. Energy,Pacer American Energy Independence ETF,Pacer Advisors,5.93%,--,36.30%,7.37%,9.49%,--,-3.32%,$14.07M,$2.44M,$6.12M,$2.44M,$2.44M
RDOG,"27,080,000 ",0.35%,Equity: U.S. REITs,ALPS REIT Dividend Dogs ETF,SS&C,-8.65%,6.98%,19.55%,-5.72%,7.82%,7.28%,-3.61%,-$26.61M,-$2.62M,-$5.06M,$0.00M,-$1.32M
AVMU,"27,040,000 ",0.15%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",Avantis Core Municipal Fixed Income ETF,American Century Investments,-2.04%,--,-1.87%,-2.14%,--,--,-1.08%,$27.51M,$0.00M,$5.00M,$0.00M,$0.00M
JUSA,"26,970,000 ",0.17%,Equity: U.S. - Large Cap,JPMorgan ActiveBuilders U.S. Large Cap Equity ETF,JPMorgan Chase,-8.25%,--,--,-7.61%,--,--,-4.87%,$2.46M,$0.00M,$2.46M,$0.00M,$0.00M
IWFL,"26,960,000 ",0.95%,Leveraged Equity: U.S. - Large Cap Growth,ETRACS 2x Leveraged US Growth Factor TR ETN,UBS,-24.58%,--,--,-24.45%,--,--,-18.59%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
QSPT,"26,930,000 ",0.90%,Equity: U.S. - Large Cap,FT Cboe Vest Nasdaq-100 Buffer ETF - September,First Trust,-8.03%,--,--,-7.55%,--,--,-5.92%,$26.32M,$10.33M,$26.32M,$0.00M,-$3.16M
SPMV,"26,910,000 ",0.10%,Equity: U.S. - Large Cap,Invesco S&P 500 Minimum Variance ETF,Invesco,-8.21%,--,13.30%,-6.90%,15.54%,--,-2.24%,$21.12M,$1.96M,$19.05M,$0.39M,$0.39M
ESGS,"26,560,000 ",0.35%,Equity: U.S. - Total Market,Columbia Sustainable U.S. Equity Income ETF,"Columbia Management Investment Advisers, LLC",-0.79%,12.23%,26.17%,1.05%,16.32%,--,2.04%,$19.43M,$19.79M,$17.93M,$1.94M,$1.94M
NDJI,"26,440,000 ",0.68%,Equity: U.S. - Large Cap,Nationwide Dow Jones Risk-Managed Income ETF,Nationwide,-5.25%,--,--,-4.44%,--,--,--,$27.25M,$27.25M,$27.25M,$9.85M,$12.38M
ALFA,"26,360,000 ",0.65%,Equity: U.S. - Total Market,AlphaClone Alternative Alpha ETF,Exchange Traded Concepts,-16.65%,12.30%,-19.66%,-18.59%,12.72%,--,-25.61%,-$1.21M,$2.07M,-$2.32M,$0.00M,$0.00M
ROSC,"26,310,000 ",0.34%,Equity: U.S. - Small Cap,Hartford Multifactor Small Cap ETF,The Hartford,-8.46%,9.48%,10.00%,-7.50%,11.07%,--,-4.78%,$5.86M,$2.54M,$18.10M,$0.00M,$0.00M
ERY,"26,280,000 ",1.00%,Inverse Equity: U.S. Energy,Direxion Daily Energy Bear 2X Shares,Direxion,-29.09%,-30.10%,-72.97%,-30.71%,-45.02%,-30.54%,-24.66%,$4.50M,-$3.40M,$26.75M,$8.23M,$8.23M
SXQG,"26,270,000 ",1.00%,Equity: U.S. - Total Market,ETC 6 Meridian Quality Growth ETF,Exchange Traded Concepts,-15.05%,--,--,-14.37%,--,--,-14.07%,$28.85M,$8.12M,$28.85M,$0.64M,$1.32M
CSA,"26,100,000 ",0.35%,Equity: U.S. - Small Cap,VictoryShares US Small Cap Volatility Wtd ETF,Victory Capital,-7.64%,10.44%,11.43%,-6.64%,14.77%,--,-4.38%,-$16.32M,$0.00M,$0.14M,$0.00M,$0.00M
TENG,"25,900,000 ",1.07%,Leveraged Equity: U.S. 5G,Direxion Daily 5G Communications Bull 2X Shares,Direxion,-22.81%,--,--,-22.07%,--,--,-5.22%,$26.61M,$17.85M,$26.61M,$1.67M,$2.63M
IEDI,"25,720,000 ",0.18%,Equity: U.S. Consumer Discretionary,iShares Evolved U.S. Discretionary Spending ETF,Blackrock,-12.17%,--,4.36%,-10.76%,19.00%,--,-8.63%,$14.37M,$4.73M,$0.53M,$0.00M,$0.00M
CNCR,"25,660,000 ",0.79%,"Equity: U.S. Pharma, Biotech & Life Sciences",Loncar Cancer Immunotherapy ETF,Exchange Traded Concepts,-21.51%,-0.80%,-40.31%,-24.50%,-0.06%,--,-30.16%,-$14.83M,-$0.75M,-$5.12M,$2.00M,$0.69M
XBAP,"25,610,000 ",0.79%,Equity: U.S. - Large Cap,Innovator U.S. Equity Accelerated 9 Buffer ETF - April,Innovator,-1.68%,--,--,-1.15%,--,--,-0.42%,$24.40M,$6.07M,$24.40M,$5.39M,$5.39M
GLRY,"25,610,000 ",0.85%,Equity: U.S. - Mid Cap,Inspire Faithward Mid Cap Momentum ESG ETF,Inspire,-13.94%,--,-18.67%,-12.77%,--,--,-19.23%,$2.95M,-$22.42M,$1.45M,$0.68M,-$9.62M
PSFD,"25,520,000 ",0.75%,Equity: U.S. - Large Cap,Pacer Swan SOS Flex January ETF,Pacer Advisors,-6.16%,--,9.23%,-5.58%,--,--,-3.19%,$25.37M,$23.70M,$24.84M,$7.90M,$12.20M
HYMU,"25,470,000 ",0.35%,"Fixed Income: U.S. - Government, Local Authority/Municipal High Yield",BlackRock High Yield Muni Income Bond ETF,Blackrock,-2.69%,--,--,-2.63%,--,--,-2.48%,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
XSHQ,"25,470,000 ",0.29%,Equity: U.S. - Small Cap,Invesco S&P SmallCap Quality ETF,Invesco,-6.25%,--,6.23%,-4.80%,12.55%,--,-2.97%,$12.15M,-$13.84M,-$12.41M,-$5.96M,-$8.31M
